Experiment,Distance,Control,Add_ATP,Wait
LG,283.036,43,47.6667,40.3333
LG,284.923,42.6667,37,42
LG,286.81,43.3333,45.6667,39.3333
LG,288.696,43,44.3333,39.3333
LG,290.583,41.3333,42.3333,38.6667
LG,292.47,40.3333,44.3333,40
LG,294.357,40.3333,42.6667,38
LG,296.244,39,42.3333,40.3333
LG,298.131,37.6667,41,38.3333
LG,300.018,37.6667,39,41
LG,301.905,37,44,40.3333
LG,303.792,39.6667,40.6667,42
LG,305.679,40,41.3333,41.6667
LG,307.565,39,41,41.3333
LG,309.452,38.6667,40.3333,40.6667
LG,311.339,36.3333,37,38.3333
LG,313.226,32.3333,33.6667,33
LG,315.113,30,30.3333,33.6667
