Distance,Buffer,D-Glucose,L-Glucose,Mannose
168.0665,1,1,1,1
169.9548,0.974358974,0.995098039,0.978070176,0.981981982
171.8432,0.974358974,0.985294118,0.964912281,0.963963964
173.7316,0.957264957,0.980392157,0.960526316,0.972972973
175.62,0.957264957,0.970588235,0.947368421,0.945945946
177.5084,0.948717949,0.955882353,0.929824561,0.954954955
179.3968,0.905982906,0.93627451,0.903508772,0.945945946
181.2852,0.931623932,0.931372549,0.903508772,0.918918919
183.1736,0.923076923,0.931372549,0.885964912,0.918918919
185.0619,0.854700855,0.916666667,0.894736842,0.882882883
186.9503,0.88034188,0.901960784,0.859649123,0.882882883
188.8387,0.829059829,0.882352941,0.824561403,0.846846847
190.7271,0.794871795,0.857843137,0.807017544,0.846846847
192.6155,0.760683761,0.833333333,0.785087719,0.810810811
194.5039,0.735042735,0.808823529,0.771929824,0.783783784
196.3923,0.709401709,0.794117647,0.763157895,0.774774775
198.2806,0.683760684,0.779411765,0.714912281,0.756756757
200.169,0.641025641,0.745098039,0.675438597,0.720720721
202.0574,0.632478633,0.715686274,0.666666667,0.693693694
203.9458,0.598290598,0.681372549,0.609649123,0.666666667
205.8342,0.555555556,0.651960784,0.574561403,0.621621622
207.7226,0.538461538,0.62254902,0.543859649,0.594594595
209.611,0.495726496,0.588235294,0.504385965,0.567567568
211.4994,0.452991453,0.56372549,0.478070176,0.522522522
213.3877,0.435897436,0.534313726,0.451754386,0.504504505
215.2761,0.401709402,0.5,0.425438597,0.459459459
217.1645,0.376068376,0.465686274,0.390350877,0.432432432
219.0529,0.350427351,0.43627451,0.359649123,0.414414414
220.9413,0.324786325,0.406862745,0.328947368,0.378378378
222.8297,0.299145299,0.37745098,0.307017544,0.351351351
224.7181,0.256410256,0.343137255,0.285087719,0.315315315
226.6065,0.239316239,0.318627451,0.25877193,0.297297297
228.4948,0.222222222,0.303921569,0.23245614,0.261261261
230.3832,0.179487179,0.289215686,0.188596491,0.243243243
232.2716,0.188034188,0.259803922,0.171052632,0.216216216
234.16,0.170940171,0.240196078,0.157894737,0.189189189
236.0484,0.128205128,0.220588235,0.144736842,0.171171171
237.9368,0.11965812,0.18627451,0.118421053,0.162162162
239.8252,0.102564103,0.161764706,0.105263158,0.144144144
241.7135,0.076923077,0.147058824,0.096491228,0.135135135
243.6019,0.068376068,0.147058824,0.083333333,0.108108108
245.4903,0.051282051,0.137254902,0.070175439,0.099099099
247.3787,0.042735043,0.117647059,0.057017544,0.081081081
249.2671,0.025641026,0.102941176,0.048245614,0.072072072
251.1555,0.025641026,0.093137255,0.035087719,0.072072072
253.0439,0.017094017,0.078431373,0.035087719,0.054054054
254.9323,0.008547009,0.068627451,0.035087719,0.045045045
256.8206,0,0.068627451,0.01754386,0.045045045
258.709,0,0.058823529,0.00877193,0.045045045
260.5974,0,0.044117647,0,0.027027027
262.4858,0,0.039215686,0,0.018018018
264.3742,0,0.039215686,0,0.018018018
266.2626,0,0.029411765,0,0.018018018
268.151,0,0.024509804,0,0.018018018
270.0394,0,0.019607843,0,0.018018018
271.9277,0,0.014705882,0,0.018018018
273.8161,0,0.009803922,0,0
275.7045,0,0.009803922,0,0
277.5929,0,0.004901961,0,0
279.4813,0,0,0,0
281.3697,0,0,0,0
283.2581,0,0,0,0
285.1465,0,0,0,0
287.0349,0,0,0,0
288.9232,0,0,0,0
290.8116,0,0,0,0
292.7,0,0,0,0
294.5884,0,0,0,0
296.4768,0,0,0,0
298.3652,0,0,0,0
300.2535,0,0,0,0
302.1419,0,0,0,0
304.0303,0,0,0,0
305.9187,0,0,0,0
307.8071,0,0,0,0
309.6955,0,0,0,0
311.5839,0,0,0,0
313.4723,0,0,0,0
315.3607,0,0,0,0
317.249,0,0,0,0
319.1374,0,0,0,0
321.0258,0,0,0,0
322.9142,0,0,0,0
