Distance,b1,b2,t1,t2
198.281,0.733871,0.785714,0.785047,0.900662
200.169,0.717742,0.738095,0.752336,0.854305
202.057,0.685484,0.714286,0.728972,0.84106
203.946,0.629032,0.714286,0.71028,0.821192
205.834,0.612903,0.690476,0.686916,0.788079
207.723,0.564516,0.642857,0.649533,0.781457
209.611,0.532258,0.619048,0.602804,0.754967
211.499,0.508065,0.595238,0.570093,0.721854
213.388,0.443548,0.571429,0.542056,0.695364
215.276,0.41129,0.547619,0.5,0.675497
217.165,0.370968,0.5,0.462617,0.649007
219.053,0.33871,0.47619,0.429907,0.615894
220.941,0.314516,0.452381,0.397196,0.589404
222.83,0.282258,0.404762,0.369159,0.556291
224.718,0.241935,0.380952,0.336449,0.523179
226.607,0.201613,0.357143,0.299065,0.483444
228.495,0.169355,0.309524,0.271028,0.456954
230.383,0.145161,0.261905,0.242991,0.430464
232.272,0.145161,0.238095,0.219626,0.397351
234.16,0.112903,0.214286,0.205607,0.377483
236.048,0.0887097,0.190476,0.182243,0.357616
237.937,0.0887097,0.166667,0.158879,0.324503
239.825,0.0645161,0.119048,0.140187,0.298013
241.714,0.0564516,0.0952381,0.121495,0.271523
243.602,0.0483871,0.0952381,0.0981308,0.238411
245.49,0.0403226,0.0714286,0.0794393,0.225166
247.379,0.0403226,0.0714286,0.0747664,0.205298
249.267,0.016129,0.0714286,0.0654206,0.178808
251.155,0.016129,0.047619,0.0560748,0.15894
253.044,0,0.047619,0.0420561,0.145695
254.932,0,0.0238095,0.0327103,0.13245
256.821,0,0,0.0327103,0.112583
258.709,0,0,0.0280374,0.0927152
260.597,0,0,0.0140187,0.0794702
262.486,0,0,0.0046729,0.0662252
264.374,0,0,0.0046729,0.0596026
266.263,0,0,0,0.0596026
268.151,0,0,0,0.0463576
270.039,0,0,0,0.0397351
271.928,0,0,0,0.0264901
273.816,0,0,0,0.013245
275.704,0,0,0,0.00662252
277.593,0,0,0,0
279.481,0,0,0,0
281.37,0,0,0,0
283.258,0,0,0,0
285.147,0,0,0,0
287.035,0,0,0,0
288.923,0,0,0,0
290.812,0,0,0,0
292.7,0,0,0,0
294.588,0,0,0,0
296.477,0,0,0,0
298.365,0,0,0,0
300.253,0,0,0,0
302.142,0,0,0,0
304.03,0,0,0,0
305.919,0,0,0,0
307.807,0,0,0,0
309.695,0,0,0,0
311.584,0,0,0,0
313.472,0,0,0,0
315.361,0,0,0,0
317.249,0,0,0,0
319.137,0,0,0,0
321.026,0,0,0,0
322.914,0,0,0,0
